パック名,RISE OF DESTINY,,#,種,カード名,パック
パックID,13,,1138,2,きつね火,"13,38,47"
カード数,55,,1139,2,アルティメット・インセクトＬＶ３,"13,33,38,47"
,,,1140,2,イーグル・アイ,"13,47"
パックID逆引き,,,1141,2,エレメント・ザウルス,"13,47"
ID,32,,1142,2,エレメント・マジシャン,"13,30,45,47"
名,スペシャルモンスターコレクションＡ,,1143,2,サイレント・ソードマンＬＶ３,"13,24,33,38,47"
,,,1144,2,トラップ処理班Ａチーム,"13,28,47"
カード種,,,1145,2,ハーピィレディ１,"13,47"
ID,名前,,1146,2,ハーピィレディ２,"13,34,47"
1,ノーマル,,1147,2,ハーピィレディ３,"13,47"
2,効果,,1148,2,パーフェクト機械王,"13,28,47"
3,融合,,1149,2,ミスティック・ソードマンＬＶ６,"13,24,33,45,47"
4,魔法,,1150,2,ミラージュ・ドラゴン,"13,22,47"
5,罠,,1151,2,一撃必殺侍,"13,24,47"
,,,1152,2,侵略の炎,"13,47"
カード逆引き,,,1153,2,創世者の化身,"13,24,38,47"
名,13人目の埋葬者,,1154,2,創造神,"13,38,47"
ID,パック名,,1155,2,可変機獣ガンナードラゴン,"13,28,47"
1,LEGEND OF BLUE EYES WHITE DRAGON,,1156,2,巨大戦艦ビッグ・コア,"13,28,47"
20,GIFT SELECTIONS,,1157,2,強化支援メカ・ヘビーウェポン,"13,28,32,47"
31,アンデット族コレクション,,1158,2,忍び寄るデビルマンタ,"13,47"
46,全ノーマルモンスターランダム,,1159,2,漆黒の戦士ワーウルフ,"13,47"
,,,1160,2,火霊使いヒータ,"13,30,34,47"
,,,1161,2,炎帝テスタロス,"13,43,47"
,,,1162,2,爆炎集合体ガイヤ・ソウル,"13,43,47"
,,,1163,2,華麗なる潜入工作員,"13,24,47"
,,,1164,2,逆巻く炎の精霊,"13,44,47"
,,,1165,2,錬金生物ホムンクルス,"13,47"
,,,1166,2,霞の谷の大怪鳥,"13,47"
,,,1167,2,魔装機関車デコイチ,"13,28,34,47"
,,,1168,3,キング・もけもけ,"13,21,38,47,48"
,,,1169,3,闇魔界の竜騎士ダークソード,"13,24,43,47,48"
,,,1170,4,トライアングル・Ｘ・スパーク,"13,50"
,,,1171,4,ハーピィの狩場,"13,50"
,,,1172,4,フリント,"13,39,50"
,,,1173,4,与奪の首飾り,"13,39,50"
,,,1174,4,城壁壊しの大槍,"13,39,50"
,,,1175,4,怒れるもけもけ,"13,41,50"
,,,1176,4,振り出し,"13,50"
,,,1177,4,機械複製術,"13,36,50"
,,,1178,4,死者転生,"13,50"
,,,1179,4,軽量化,"13,41,50"
,,,1180,4,連続魔法,"13,42,50"
,,,1181,4,邪気退散,"13,41,42,50"
,,,1182,5,アストラルバリア,"13,41,44,49"
,,,1183,5,ピケルの魔方陣,"13,49"
,,,1184,5,マインド・ハック,"13,49"
,,,1185,5,レアメタル化・魔法反射装甲,"13,41,49"
,,,1186,5,天罰,"13,42,45,49"
,,,1187,5,心鎮壷,"13,41,49"
,,,1188,5,援護射撃,"13,49"
,,,1189,5,断頭台の惨劇,"13,49"
,,,1190,5,連鎖炸薬,"13,41,43,49"
,,,1191,5,風林火山,"13,49"
,,,1192,5,魔力浄化,"13,41,49"
